star_score,score_reple,writer_id,write_date
10,다 좋아요. 너무 재밌게 봤어요.^^ 아이들도 깔깔대며 좋아했어요.,노래(ann3****),2020.01.22 21:49
10,재밌게 잘 봤습니다. 그런데 상영횟수가 얼마없어서 안타깝네요.,활짝피워라(iris****),2020.01.22 21:23
10,웃음 폭탄 터지는 영화랄까ㅋㅋ 너무 재밌엉,쁑(eagr****),2020.01.22 12:30
10,와 진짜 비둘기로 변하는거 개꿀잼ㅋㅋㅋ 상상도 못했다,오잉(bnmm****),2020.01.23 10:52
10,혹시 더빙판 보신분 우리말더빙 이상하진않나요? 자막판 봐야 윌스미스 톰홀랜드 연기를 볼텐데시간대가 더빙판밖에 없어서 .. 더빙은 잘못하면 영화까지 재미없어져서ㅠㅠ,별(jme0****),2020.01.23 10:48
10,진짜 웃음 참느라 힘들 정도로 재밌었어욬ㅋㅋㅋ,ads7****,2020.01.23 10:34
10,"어른, 어린이들 다 보기 좋아요ㅎ",선향(pthw****),2020.01.23 10:31
10,역시는 역시였다 믿고 봐라,노란맛(vwsk****),2020.01.23 10:31
9,애니메이션이 이렇게나 재밌다고?,나혼자산다(iwjl****),2020.01.23 10:31
8,아이들이 보기에도 어렵지 않고 어른들이 보기에도 지루하지 않아요~,Hendar(j1xy****),2020.01.23 10:30
10,랜스는 진짜 윌스미스보고 그린듯함 ㅋ,김미소(gwl1****),2020.01.23 10:30
10,"캐스팅을 생각해서 캐릭터를 만든건지 목소리 완전 찰떡ㄷㄷ,, 윌 스미스X톰 홀랜드 케미 장난 아니네요ㅎㅎ! 개그 코드도 나랑 잘 맞아ㅠㅠ,, 웃길려고 작정하고 만든 코미디 애니메이션!",여혜원(yhw0****),2020.01.23 10:13
10,,kkgh****,2020.01.23 09:52
10,신선하고 재밌게 보고 왔습니다 아이들과 시간 가는줄 모르고 봤네요,백영선(oqry****),2020.01.23 09:50
9,설 연휴 가족 영화로 강추 ㅋㅋㅋ 남녀노소 구분없이 모두가 좋아할만한 요소들이 가득하다 웃음폭발ㅋㅋ,훈녀(myf2****),2020.01.23 09:49
9,디즈니답게 귀엽고 신나는 영화였어요,오늘밤(fyrv****),2020.01.23 09:49
10,귀여운 캐릭터들ㅋㅋㅋ 재밌고 즐거운 시간이였습니다,기래일(eggy****),2020.01.23 09:43
10,영화보다 깜놀;;ㅋㅋ월터가 한국 덕후 ㅋㅋ,리자드(ecqa****),2020.01.23 09:43
10,무엇을 상상하든 그 이상 !!,클라라(xoj0****),2020.01.23 09:42
10,인크레더블도 생각나고 빅히어로도 생각나고 딱 디즈니에 어울리는 신나고 따뜻한 영화♥,더폰(f245****),2020.01.23 09:42
9,k컬처 실화에여?ㅋㅋㅋ 짱이다,이규태(tpjp****),2020.01.23 09:41
9,윌스미스와 톰홀랜드 목소리뿐 아니라 싱크로율에 놀랐던.. 기발하다 만화영화였어,양리태(otkn****),2020.01.23 09:39
10,남녀노소 모두 좋아할만한 애니메이션!,Mhila Safina(d3vx****),2020.01.23 09:39
10,잔망과 코믹이ㅋㅋㅋ 요근래 본 영화들 중 젤 재밌게 봄,베르사체(sinc****),2020.01.23 09:38
9,진짜 재미가 없을 수 없는 영화였듬,찌니찌니(baky****),2020.01.23 09:38
10,윌스미스 얼굴이 개똑같이생김,석충현(sd47****),2020.01.23 02:37
10,이런게 바로 트렌디한 웃음이지,수박바(ntio****),2020.01.23 02:26
10,귀엽고 재밌는 스파이 무비~,박미철(kkkx****),2020.01.23 02:26
8,"애니메이션이라서 가능한 연출과 스토리. 스파이더맨-유니버스 만큼은 아니지만, ost도 엄청 힙하소 좋아요. 껄껄 웃으면서 봤어요. 윌스미스-톰홀랜드, 캐릭터 찰떡이고요!",지호엄마(tuna****),2020.01.23 02:25
10,정말 재미있습니다~~ 이번 설날은 이거다!,Edwards(rona****),2020.01.22 23:52
8,독특한 소재와 좋은 영상미. 가볍게 보기좋습니다.,공돌이(inha****),2020.01.22 22:28
10,괜찮았다! 윌 스미스랑 홀랜드 케미 잘 맞고 좋더라,다함께 차차차(dgbt****),2020.01.22 22:27
10,조합보소 ㅋㅋㅋㅋ 기대한 이상이다,태양신 희망생(king****),2020.01.22 22:17
10,너무너무 신선하고 재미있어요!!! 진짜 최고최고!!,들개(yjyj****),2020.01.22 22:14
10,너무너무꿀잼이에요 진짜~로 보다가 눈감고다시떠보니깐 영화가끝나있더라고요ㅋㅋ,이경민(dlru****),2020.01.22 22:12
8,"기대하지 않고 봤는데 아들이 재미있데요, 누나는 좀 무섭다고 하는데 생각보다 괜찮은 영화입니다.",라이언(nara****),2020.01.22 21:49
9,전개가 빨라서 지루할 틈이 없다. 2편 나올 가능성 충분해 보임.,갓한순(dkdl****),2020.01.22 21:48
10,재밌게 봤어요!  가족들이랑 보기좋 은듯,소라찡(lims****),2020.01.22 21:31
10,보면서 얼마나 웃었는지ㅎㅎ 잼나네용ㅎㅎ,ddkdpf(izut****),2020.01.23 02:26
4,톰홀랜드와 윌스미스의 특징을 살린 연출과 목소리는 굿!그러나 애니매이션은 역시 디즈니...,모모픽쳐스(momo****),2020.01.22 18:40
1,별루예욤 그냥이거볼 바예야 다른걸봐요,dldy****,2020.01.22 21:09
1,기대했던것 보다는 나에게 기대가 되지 않았다 하지만 다른 사람들은 재미있게 볼 수 있을 것이다,강태건(ktg8****),2020.01.22 20:05
2,이런 영화 왜 만든지 이해도 안가고 화가난다. 조조로 9시10분 영화 보고선 화가나서 글 적는다. 절대 보지마라. 돈 아깝다. 처음부터 끝까지 비둘기로 시작해서 비둘기로 끝나고 미국식 조크에 억지 감동 억지 웃음.....,이런 영화 왜 만든지 이해도 안가고 화가난다. 조조로 9시10분 영화 보고선 화가나서 글 적는다. 절대 보지마라. 돈 아깝다. 처음부터 끝까지 비둘기로 시작해서 비둘기로 끝나고 미국식 조크에 억지 감동 억지 웃음.....,2020.01.23 11:12
