star_score,score_reple,writer_id,write_date
8,성룡 영화의 향수가 물씬~ 권상우의 장기가 십분 발휘됨,테드(gado****),2020.01.23 12:37
8,"전체적으로 웃긴요소들이 많았고, 딸이 중간중간 감동을 주는 것도 굉장히 좋았습니다. 다만 주인공 일당 띄워주기로 국정원 사람들이 호구로 표현된것 같아 아쉽습니다.",꿀잠(erac****),2020.01.23 12:30
7,막장인 부분이 없지않아 있지만 가끔씩 이런 영화도 봐주는것도 잼잼 ㅋㅋ,파인드(qud0****),2020.01.23 12:02
9,초반엔 솔직히 조금 지루했는데 중반쯤부터 재밌어짐ㅋㅋㅋ권상우는 코믹이 진짜 어울리는거같음ㅋㅋㅋ아 근데 딸 랩은 좀 오글...,소라빵(thfk****),2020.01.23 11:44
10,너무 재미있다ㅋㅋㅋㅋ데이트코스로 딱 좋은 영화,투노(2602****),2020.01.23 11:40
10,내 배꼽 돌려도 ㅋㅋㅋ,LP시대(wood****),2020.01.23 11:33
10,와 코믹이랑 스릴 둘다 잡았넹,Head of the world(rkdw****),2020.01.23 10:57
10,,내나이벌써(arum****),2020.01.23 10:54
10,꿀잼보장 시간순삭 가족영화,사이다(assa****),2020.01.23 10:49
10,설날에 이런 영화를 봐야지 코믹,suny****,2020.01.23 10:40
10,시사회로 봤었는데 재밌었어요 기안84보다 내가 못한게뭐야 대사ㅋㄱㅋㅋ,키익(dtjm****),2020.01.23 11:48
10,진짜  대박 재밌음  아무생각없이보시길추천드립니다,문현기(seed****),2020.01.23 11:22
9,가볍게보기 좋은것같아요!  재미있습니다,고고찬(mych****),2020.01.23 10:23
10,진짜 처음부터 끝까지 웃겼음!! 기회되면 또 볼예정!!!시즌2 나왔으면 좋겠어여!,제로콜라(vose****),2020.01.23 10:15
10,영화평 한번도 안남겨봤는데 영화보면서 진짜 크게 웃고 재미있게 봐서 여기에 한 줄 남깁니다. 개봉한 영화들 중 고민하다가 이 영화를 봤는데 진짜 대박 웃김ㅋㅋㅋ 권상우씨 액션 너무 잘 어울리시네요 ㅋㅋㅋ 잘봤습니다!...,지원(jjw5****),2020.01.23 10:06
10,너무 재밌어요~ 최근 영화 중 제일 재밌었어요.설연휴 가족영화로 딱 입니다.^^,yuju****,2020.01.23 10:04
10,명절 앞두고 부모님 모시고 즐겁게 본 오락영화! 부모님들과는 남산의 부장들을 보기가 그래서 개봉일에 남산의 부장들을 스킵하고 히트맨을 봤습니다. 욕이 좀 나오고 잔인한 부분이 있으니 아이가 없다면 명절연휴에 가족끼리...,Hailey(lgbk****),2020.01.23 10:03
6,권상우를 보러가는 영화 권상우는 권상우다 보너스 정준호,알쓸신잡(leec****),2020.01.22 21:19
6,성태형 이 영화 끝나고 성대결절 안왔슈?? 고막 찢어지는 줄 알았옹!! ㅡㅡ,hyok****,2020.01.22 20:19
